source,target,actors_common,genres_common,similaridade,rating_media,peso,peso_bf
tt0007052,tt0008491,5,0,10,2.55,0.1,0.1
tt0019076,tt0019562,5,2,12,2.35,0.083333,0.083333
tt0019076,tt0019970,5,2,12,0.0,0.083333,0.083333
tt0019562,tt0020795,5,2,12,4.75,0.083333,0.083333
tt0019562,tt0021195,5,2,12,2.35,0.083333,0.083333
tt0019672,tt0020609,5,2,12,2.8,0.083333,0.083333
tt0019790,tt0020029,5,2,12,0.0,0.083333,0.083333
tt0020105,tt0020271,5,2,12,3.35,0.083333,0.083333
tt0028232,tt0028910,5,1,11,5.5,0.090909,0.090909
tt0006734,tt0007946,5,1,11,0.0,0.090909,0.090909
tt0008586,tt0008587,5,1,11,0.0,0.090909,0.090909
tt0006016,tt0006043,5,1,11,2.5,0.090909,0.090909
tt0006852,tt0010179,5,2,12,0.0,0.083333,0.083333
tt0007022,tt0007065,5,1,11,0.0,0.090909,0.090909
tt0002772,tt0004031,5,1,11,1.8,0.090909,0.090909
tt0004980,tt0007383,5,1,11,0.0,0.090909,0.090909
tt0004980,tt0007570,5,1,11,0.0,0.090909,0.090909
tt0004980,tt0008656,5,1,11,0.0,0.090909,0.090909
tt0010963,tt0011277,5,0,10,3.5,0.1,0.1
tt0010963,tt0011914,5,0,10,3.7,0.1,0.1
tt0011277,tt0011914,5,0,10,7.2,0.1,0.1
tt0021993,tt0024606,5,1,11,6.85,0.090909,0.090909
tt0008663,tt0008879,5,1,11,7.25,0.090909,0.090909
tt0008672,tt0009694,5,1,11,6.05,0.090909,0.090909
tt0002917,tt0003227,5,1,11,4.65,0.090909,0.090909
tt0002917,tt0004639,5,1,11,2.85,0.090909,0.090909
tt0002917,tt0005602,5,0,10,2.85,0.1,0.1
tt0003870,tt0006761,5,1,11,5.8,0.090909,0.090909
tt0006756,tt0006761,5,0,10,2.95,0.1,0.1
tt0002574,tt0003545,5,1,11,5.35,0.090909,0.090909
tt0002785,tt0002798,5,0,10,2.8,0.1,0.1
tt0002833,tt0003419,5,1,11,3.2,0.090909,0.090909
tt0005060,tt0007038,5,1,11,6.55,0.090909,0.090909
tt0005402,tt0007322,5,1,11,3.3,0.090909,0.090909
tt0007038,tt0007857,5,1,11,6.95,0.090909,0.090909
tt0007192,tt0007778,5,1,11,3.15,0.090909,0.090909
tt0009244,tt0009447,5,1,11,0.0,0.090909,0.090909
tt0025699,tt0025969,5,2,12,5.3,0.083333,0.083333
tt0006557,tt0007988,5,1,11,3.15,0.090909,0.090909
tt0007988,tt0008883,5,1,11,0.0,0.090909,0.090909
tt0008963,tt0009653,5,1,11,0.0,0.090909,0.090909
tt0008963,tt0009800,5,1,11,0.0,0.090909,0.090909
tt0017804,tt0018823,5,1,11,2.85,0.090909,0.090909
tt0017804,tt0019343,5,1,11,2.85,0.090909,0.090909
tt0019244,tt0019488,5,2,12,0.0,0.083333,0.083333
tt0021597,tt0022514,5,2,12,6.0,0.083333,0.083333
tt0022884,tt0027842,5,2,12,5.75,0.083333,0.083333
tt0022927,tt0023144,5,2,12,5.95,0.083333,0.083333
tt0024500,tt0024902,5,1,11,5.35,0.090909,0.090909
tt0024500,tt0025969,5,0,10,5.35,0.1,0.1
tt0024902,tt0025969,5,1,11,5.3,0.090909,0.090909
tt0005062,tt0007117,5,1,11,4.95,0.090909,0.090909
tt0009781,tt0009796,5,1,11,7.0,0.090909,0.090909
tt0016050,tt0016539,5,2,12,0.0,0.083333,0.083333
tt0015588,tt0017163,5,0,10,0.0,0.1,0.1
tt0002642,tt0003394,5,0,10,2.85,0.1,0.1
tt0003816,tt0004974,5,1,11,5.5,0.090909,0.090909
tt0016034,tt0016689,5,1,11,6.35,0.090909,0.090909
tt0012729,tt0012762,5,1,11,0.0,0.090909,0.090909
