tconst,titulo,ano,generos,nota,diretores
tt0003817,Dan,1914,"Drama,War",2.7,nm0410271|nm0695466
tt0003820,The Dancer and the King,1914,Drama,,nm0036048
tt0003822,La danza fatal,1915,,,nm0865601
tt0003825,The Daughters of Men,1914,Drama,,nm0856161
tt0003830,Detective Craig's Coup,1914,"Crime,Drama",5.0,nm0533289
tt0003832,La deuda del pasado,1914,,,nm0550220
tt0003836,Diego Corrientes,1914,,,nm0550220
tt0003854,Dodge City Trail,1936,"Drama,Music,Western",3.7,nm0170973
tt0003856,The Dollar Mark,1914,Drama,,nm0526226
tt0003870,Judge Not,1914,Drama,5.7,nm0803705
tt0003871,The Eagle's Mate,1914,Drama,5.4,nm0456804
tt0003874,La echadora de cartas,1914,,,nm0550220
tt0003875,The Education of Mr. Pipp,1914,Comedy,,nm0352726
tt0003883,The Child of Paris,1913,"Crime,Drama",7.2,nm0674600
tt0003884,Engelein,1914,Comedy,6.3,nm0300487
tt0003886,Enoch Arden,1914,Drama,6.3,nm0621797
tt0003889,Erstarrte Liebe,1915,,,nm0296193
tt0003890,The Escape,1914,Drama,5.8,nm0000428
tt0003897,The Exploits of Elaine,1914,Action,6.1,nm0309163|nm0782707|nm0923594|nm0923603
tt0003929,Fantasma,1914,Fantasy,,nm0780884
tt0003930,Fantomas: The Mysterious Finger Print,1914,"Crime,Drama",6.8,nm0275421
tt0003935,The Fatal Night,1914,"Drama,History",,
tt0003938,The Fates and Flora Fourflush,1914,Comedy,,nm0888428
tt0003951,Fatum,1915,,,nm0294276
tt0003952,Fantômas: The False Magistrate,1914,"Crime,Drama",6.7,nm0275421
tt0003957,"A Fight for Freedom; or, Exiled to Siberia",1914,Drama,6.7,
tt0003960,Loyalty,1914,,6.1,nm0532622
tt0003967,The Perfect Thirty-Six,1914,Comedy,,nm0928910
tt0003973,A Florida Enchantment,1914,Comedy,5.8,nm0237713
tt0003987,"Forgiven; or, the Jack of Diamonds",1914,Drama,6.6,nm0198523
tt0003988,The Fortune Hunter,1914,Comedy,,nm0641967
tt0003993,The Fringe of War,1914,"Drama,War",,nm0875869
tt0003994,Frou Frou,1914,Drama,,nm0601190
tt0003999,För sin kärleks skull,1914,Drama,5.5,nm0830249
tt0004000,The Gamblers,1914,Drama,,nm0856161
tt0004003,Gatans barn,1914,Drama,6.6,nm0803705
tt0004004,Heilig recht,1914,Drama,,nm0159654
tt0004009,Das Geschenk des Inders,1914,,,nm0707778
tt0004013,The Ghost Breaker,1914,"Adventure,Horror",4.7,nm0001124|nm0002177
tt0004021,La gitanilla,1914,,,nm0345217
tt0004022,Julius Caesar,1914,"Drama,History",6.3,nm0345500
tt0004026,The Golem,1914,Horror,6.7,nm0917467
tt0004027,A Good Little Devil,1914,Drama,5.9,nm0692105
tt0004031,The Governor's Ghost,1914,Drama,3.6,nm0205653
tt0004037,The Great Diamond Robbery,1914,Drama,,nm0603050
tt0004038,The Great Leap: Until Death Do Us Part,1914,"Drama,Romance",5.4,nm0127511
tt0004043,The Greyhound,1914,"Crime,Drama",,nm0569261
tt0004047,Half Breed,1913,Drama,6.9,nm0803705
tt0004052,The Hazards of Helen,1914,Action,6.8,nm0204724|nm0569645|nm0897085
tt0004058,Hearts United,1914,Drama,,nm5177136
tt0004063,Hearts of Oak,1914,Drama,,nm0681151
tt0004066,Sealed Orders,1914,"Drama,Mystery",6.8,nm0159725
tt0004078,Her Luck in London,1914,"Crime,Drama",,nm0002061
tt0004097,His Last Dollar,1914,"Comedy,Drama",,nm0288616
tt0004099,"His Majesty, the Scarecrow of Oz",1914,"Adventure,Comedy,Family",5.3,nm0531759
tt0004112,Hombre o mujer,1914,Comedy,6.4,nm0674398
tt0004118,The Hoosier Schoolmaster,1914,Drama,,nm0041858|nm0276578
tt0004121,The Hound of the Baskervilles (1914),1914,"Crime,Horror,Mystery",5.5,nm0576901
